2,-1,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
1,-1,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
1,-2,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
0,-2,dT6AOUYCydzVmB0a8bnqRO1GqDA=,ZDjxDdo0RcXvgj+BEW5QcsRxcOo=
0,-1,dT6AOUYCydzVmB0a8bnqRO1GqDA=,oNMXHVZXWCeK3xjfgjWytl68P/w=
2,-2,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
0,-3,dT6AOUYCydzVmB0a8bnqRO1GqDA=,yCaAfszfKzsUZCIHjJSjEBWKvsQ=
2,-3,dT6AOUYCydzVmB0a8bnqRO1GqDA=,vou4AidY2mxdfdsVXubWECNR+8c=
1,-3,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
3,-1,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
3,-2,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
3,-3,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
3,-4,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
2,-4,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
1,-4,dT6AOUYCydzVmB0a8bnqRO1GqDA=,nrvPOIvc+BVGIMyYzgX0G3+FvwE=
0,-4,dT6AOUYCydzVmB0a8bnqRO1GqDA=,oNMXHVZXWCeK3xjfgjWytl68P/w=
